[Name]
Series 1 for Case CASSION_Transient_sol 0200 at strainrate avg

[Data]
Time [ s ],strainrate avg [ s^-1 ]
1.54999995e+00, 3.95533539e+02
1.55999994e+00, 4.45646301e+02
1.57000005e+00, 4.92069366e+02
1.58000004e+00, 5.33925598e+02
1.59000003e+00, 5.70972046e+02
1.60000002e+00, 6.01266968e+02
1.61000001e+00, 6.21078552e+02
1.62000000e+00, 6.27184631e+02
1.63000000e+00, 6.18924438e+02
1.63999999e+00, 5.97618713e+02
1.64999998e+00, 5.65203064e+02
1.65999997e+00, 5.23539429e+02
1.66999996e+00, 4.74243988e+02
1.67999995e+00, 4.18661957e+02
1.69000006e+00, 3.58171600e+02
1.70000005e+00, 2.94800171e+02
1.71000004e+00, 2.35368637e+02
1.72000003e+00, 1.93380447e+02
1.73000002e+00, 1.73282822e+02
1.74000001e+00, 1.62338150e+02
1.75000000e+00, 1.52214996e+02
1.75999999e+00, 1.42975174e+02
1.76999998e+00, 1.35062943e+02
1.77999997e+00, 1.28579941e+02
1.78999996e+00, 1.23471588e+02
1.79999995e+00, 1.19565399e+02
1.80999994e+00, 1.16618828e+02
1.82000005e+00, 1.14391182e+02
1.83000004e+00, 1.12666428e+02
1.84000003e+00, 1.11261154e+02
1.85000002e+00, 1.10051476e+02
1.86000001e+00, 1.08993614e+02
1.87000000e+00, 1.08093544e+02
1.88000000e+00, 1.07331535e+02
1.88999999e+00, 1.06671669e+02
1.89999998e+00, 1.06076935e+02
1.90999997e+00, 1.05536736e+02
1.91999996e+00, 1.05050903e+02
1.92999995e+00, 1.04621819e+02
1.94000006e+00, 1.04246536e+02
1.95000005e+00, 1.03921227e+02
1.96000004e+00, 1.03642517e+02
1.97000003e+00, 1.03406776e+02
1.98000002e+00, 1.03210419e+02
1.99000001e+00, 1.03049782e+02
2.00000000e+00, 1.02921478e+02


