[Name]
Series 1 for Case CASSION_Transient_sol 0200 at Net Mass Flow

[Data]
Time [ s ],Net Mass Flow [ kg s^-1 ]
1.53999996e+00, 2.50525773e-07
1.54999995e+00, 1.67638063e-07
1.55999994e+00, 1.78813934e-07
1.57000005e+00, 1.68569386e-07
1.58000004e+00, 2.31899321e-07
1.59000003e+00, 2.14204192e-07
1.60000002e+00, 1.89989805e-07
1.61000001e+00, 1.67638063e-08
1.62000000e+00, -2.19792128e-07
1.63000000e+00, -1.67638063e-07
1.63999999e+00, -1.67638063e-07
1.64999998e+00, -1.35973096e-07
1.65999997e+00, -1.46217644e-07
1.66999996e+00, -1.47148967e-07
1.67999995e+00, -1.58324838e-07
1.69000006e+00, -1.62981451e-07
1.70000005e+00, -2.19792128e-07
1.71000004e+00, -1.82539225e-07
1.72000003e+00, -2.50758603e-07
1.73000002e+00, 2.09547579e-07
1.74000001e+00, -2.70316377e-07
1.75000000e+00, 1.93482265e-07
1.75999999e+00, 2.78465450e-07
1.76999998e+00, 2.06753612e-07
1.77999997e+00, 2.78232619e-07
1.78999996e+00, 2.18395144e-07
1.79999995e+00, 1.65542588e-07
1.80999994e+00, 2.07219273e-07
1.82000005e+00, -1.18510798e-07
1.83000004e+00, -1.98837370e-07
1.84000003e+00, -1.88127160e-07
1.85000002e+00, -2.81026587e-07
1.86000001e+00, -2.56579369e-07
1.87000000e+00, -1.98837370e-07
1.88000000e+00, -1.52969733e-07
1.88999999e+00, -2.49361619e-07
1.89999998e+00, -1.88359991e-07
1.90999997e+00, -1.59954652e-07
1.91999996e+00, -1.25961378e-07
1.92999995e+00, -1.05472282e-07
1.94000006e+00, -7.12461770e-08
1.95000005e+00, -2.21189111e-08
1.96000004e+00, 2.42143869e-08
1.97000003e+00, 2.11875886e-08
1.98000002e+00, -2.16532499e-08
1.99000001e+00, -6.96163625e-08
2.00000000e+00, -8.89413059e-08


