[Name]
Series 1 for Case CY_Transient_solution 2.0000 at wssavg

[Data]
Time [ s ],wssavg [ Pa ]
1.55999994e+00, 4.97068834e+00
1.57000005e+00, 5.42671061e+00
1.58000004e+00, 5.82107496e+00
1.59000003e+00, 6.13949108e+00
1.60000002e+00, 6.36509132e+00
1.61000001e+00, 6.47094679e+00
1.62000000e+00, 6.42891407e+00
1.63000000e+00, 6.22579336e+00
1.63999999e+00, 5.86934376e+00
1.64999998e+00, 5.38012600e+00
1.65999997e+00, 4.78270578e+00
1.66999996e+00, 4.10241413e+00
1.67999995e+00, 3.36535692e+00
1.69000006e+00, 2.59858561e+00
1.70000005e+00, 1.85204184e+00
1.71000004e+00, 1.32691467e+00
1.72000003e+00, 1.09430122e+00
1.73000002e+00, 1.04241180e+00
1.74000001e+00, 1.00269365e+00
1.75000000e+00, 9.61534858e-01
1.75999999e+00, 9.24709618e-01
1.76999998e+00, 8.94227326e-01
1.77999997e+00, 8.69607031e-01
1.78999996e+00, 8.50309551e-01
1.79999995e+00, 8.35244954e-01
1.80999994e+00, 8.23386788e-01
1.82000005e+00, 8.13736677e-01
1.83000004e+00, 8.04963112e-01
1.84000003e+00, 7.96442389e-01
1.85000002e+00, 7.88211286e-01
1.86000001e+00, 7.80109406e-01
1.87000000e+00, 7.72760928e-01
1.88000000e+00, 7.66554117e-01
1.88999999e+00, 7.61572242e-01
1.89999998e+00, 7.57596910e-01
1.90999997e+00, 7.54371762e-01
1.91999996e+00, 7.51754880e-01
1.92999995e+00, 7.49607563e-01
1.94000006e+00, 7.47807920e-01
1.95000005e+00, 7.46298730e-01
1.96000004e+00, 7.45055437e-01
1.97000003e+00, 7.44051099e-01
1.98000002e+00, 7.43245065e-01
1.99000001e+00, 7.42600858e-01
2.00000000e+00, 7.42098093e-01


